year,alpha,alpha_se,r2_pow,n_pow_bins,mc_real,tail_fraction
1994,,,,0,211636.5,
1995,,,,0,205861.2,
1996,,,,0,199988.19999999998,
1997,,,,0,195420.1,
1998,,,,0,192443.0,
1999,,,,0,188313.1,
2000,3.2039,0.1541,0.8889,56,182180.0,0.0123
2001,3.187,0.1567,0.8884,54,177189.0,0.0136
2002,3.2028,0.1581,0.8895,53,174406.0,0.0132
2003,3.0945,0.1545,0.8891,52,170488.0,0.0138
2004,3.1245,0.158,0.8887,51,166058.0,0.015
2005,3.0395,0.156,0.8898,49,160651.0,0.0177
2006,2.9657,0.1592,0.8852,47,155636.0,0.0193
2007,2.8673,0.1514,0.8907,46,151294.0,0.0192
2008,2.8819,0.1603,0.8849,44,145734.0,0.0211
2009,3.0003,0.0825,0.9685,45,146202.0,0.0202
2010,3.0461,0.083,0.9705,43,143848.0,0.0208
2011,2.9531,0.0914,0.9631,42,139469.0,0.0232
2012,2.8363,0.0823,0.9674,42,136636.0,0.0238
2014,2.6006,0.0776,0.9673,40,132522.0,0.0302
2015,2.5962,0.0783,0.9657,41,132361.0,0.0333
2016,2.4509,0.0737,0.9668,40,130705.0,0.039
2017,2.2983,0.0724,0.9655,38,127977.0,0.0474
2018,2.3154,0.0703,0.9679,38,124930.0,0.0496
2019,2.1221,0.0762,0.9568,37,122705.0,0.0608
2020,2.1569,0.0685,0.9659,37,121186.0,0.063
2021,1.9969,0.0614,0.9698,35,115767.0,0.07
2022,2.0225,0.0757,0.9584,33,107201.0,0.0733
2023,1.7929,0.0761,0.9504,31,102952.0,0.0874
2024,1.6985,0.0734,0.9503,30,100000.0,0.1013
