year,T,alpha,alpha_se,mc,mc_score,r2_exp,r2_pow,tail_fraction,n_exp_bins,n_pow_bins
1994,97382.17,5.5136,0.6451,200000,1.8084,0.8219,0.9865,0.0665,40,3
1995,104285.7,6.3506,1.4002,195000,1.7364,0.7828,0.9536,0.0714,39,3
1996,143112.72,3.3184,0.5391,160000,1.4311,0.5677,0.8633,0.0821,32,8
1997,118217.77,2.6602,0.6833,185000,1.6866,0.7485,0.9381,0.0942,37,3
1998,137004.11,3.9245,0.5535,175000,1.6327,0.671,0.9617,0.1052,35,4
1999,172691.79,2.8587,0.5731,160000,1.3802,0.5187,0.8615,0.1225,32,6
2000,98266.18,3.7264,0.2204,230000,1.6968,0.8302,0.8666,0.0123,46,46
2001,96800.38,3.7924,0.2208,225000,1.7151,0.8398,0.8753,0.0136,45,44
2002,96771.61,3.7366,0.2158,220000,1.7183,0.8411,0.8772,0.0132,44,44
2003,98142.79,3.6393,0.2112,215000,1.7282,0.8495,0.8787,0.0138,43,43
2004,98041.7,3.6976,0.217,210000,1.7257,0.8468,0.8789,0.015,42,42
2005,100961.75,3.6182,0.2157,205000,1.7161,0.8352,0.881,0.0177,41,40
2006,106617.45,3.5876,0.2208,200000,1.6926,0.8126,0.88,0.0193,40,38
2007,111326.87,3.4562,0.2279,200000,1.6716,0.8005,0.8712,0.0192,40,36
2008,107663.38,3.5062,0.2299,190000,1.6705,0.7947,0.8757,0.0211,38,35
2009,109034.4,3.0126,0.1634,200000,1.7761,0.862,0.914,0.0202,40,34
2010,106533.46,3.1563,0.1525,195000,1.8215,0.8889,0.9325,0.0208,39,33
2011,100362.19,3.2148,0.1797,195000,1.8065,0.8896,0.9169,0.0232,39,31
2012,104183.97,2.9999,0.1664,190000,1.7998,0.8817,0.9181,0.0238,38,31
2013,188069.32,2.6384,0.4234,255000,1.7727,0.7978,0.9749,0.1598,51,3
2014,110063.41,2.701,0.1485,185000,1.8133,0.8913,0.922,0.0302,37,30
2015,121834.42,2.7346,0.1605,185000,1.7785,0.8664,0.912,0.0333,37,30
2016,117689.29,2.6391,0.1816,195000,1.764,0.8698,0.8942,0.039,39,27
2017,124602.51,2.349,0.1619,185000,1.7405,0.8467,0.8939,0.0474,37,27
2018,131277.11,2.3723,0.1604,180000,1.7249,0.8275,0.8974,0.0496,36,27
2019,142664.89,2.3206,0.1865,185000,1.6555,0.7849,0.8707,0.0608,37,25
2020,135255.39,2.3769,0.1644,180000,1.7172,0.8163,0.9009,0.063,36,25
2021,138281.04,1.9053,0.1669,180000,1.6976,0.8306,0.867,0.07,36,22
2022,146586.66,2.1309,0.2012,170000,1.6003,0.7386,0.8617,0.0733,34,20
2023,164698.11,1.5694,0.1993,165000,1.4222,0.6375,0.7848,0.0874,33,19
2024,166468.42,1.6536,0.2018,165000,1.4388,0.6215,0.8174,0.1013,33,17
