year,T,r2_exp,n_exp_bins
1994,97382.17,0.8219,40
1995,104285.7,0.7828,39
1996,143112.72,0.5677,32
1997,118217.77,0.7485,37
1998,137004.11,0.671,35
1999,172691.79,0.5187,32
2000,98266.18,0.8302,46
2001,96800.38,0.8398,45
2002,96771.61,0.8411,44
2003,98142.79,0.8495,43
2004,98041.7,0.8468,42
2005,100961.75,0.8352,41
2006,106617.45,0.8126,40
2007,111326.87,0.8005,40
2008,107663.38,0.7947,38
2009,109034.4,0.862,40
2010,106533.46,0.8889,39
2011,100362.19,0.8896,39
2012,104183.97,0.8817,38
2013,188069.32,0.7978,51
2014,110063.41,0.8913,37
2015,121834.42,0.8664,37
2016,117689.29,0.8698,39
2017,124602.51,0.8467,37
2018,131277.11,0.8275,36
2019,142664.89,0.7849,37
2020,135255.39,0.8163,36
2021,138281.04,0.8306,36
2022,146586.66,0.7386,34
2023,164698.11,0.6375,33
2024,166468.42,0.6215,33
