date,S,return,win
2020-03-10,1.265769583592783,0.003649467413545835,True
2020-03-11,1.2439690381076605,-0.009876468426601925,False
2020-03-12,1.221022515066665,0.15152798190625685,True
2020-03-13,1.6456035601329595,0.15645702805899606,True
2020-03-16,1.651892559692487,0.2394745901097864,True
2020-03-17,1.6465470189183151,0.19480241435015275,True
2020-03-18,1.595901050339391,0.21502343426460666,True
2020-03-19,1.5775548945484528,0.22001900271988792,True
2020-03-20,1.5282601261656237,0.17213992554043145,True
2020-03-23,1.519485350285822,0.20772586035176807,True
2020-03-24,1.4935122244172767,0.11698907807112857,True
2020-03-25,1.605327292671135,0.09192602421741487,True
2020-03-26,1.580394771612799,0.07866897714923432,True
2020-03-27,1.5569245621427128,0.09028507285310806,True
2020-03-30,1.545069907665157,0.05172095772225067,True
2020-03-31,1.5108148447791367,0.051904186649732786,True
2020-04-01,1.4859871341730284,0.1472415663779748,True
2020-04-02,1.487931120117881,0.14599758534094828,True
2020-04-03,1.463319516873627,0.16402779306313228,True
2020-04-06,1.447119057398952,0.09379701714849716,True
2020-04-07,1.4694389265293042,0.06695461757624113,True
2020-04-08,1.4837164307912425,0.09751619678196645,True
2020-04-09,1.4656019331427856,0.08522927203242413,True
2020-04-14,1.4618032846032891,0.08604393066707197,True
2020-04-15,1.4512281679719607,0.1363221983216354,True
2020-04-16,1.4623313559850275,0.11757739826150841,True
2020-04-17,1.4514944901746212,0.12339528575422531,True
2020-04-20,1.4624484651515206,0.15672805957030017,True
2020-04-21,1.4602312984686356,0.19289488901292726,True
2020-04-22,1.4639608001580566,0.20991324454673904,True
2020-04-23,1.458203371289614,0.19828672496918037,True
2020-04-24,1.4635927347355264,0.19948195268860724,True
2020-04-27,1.4625665652120172,0.16164104801254078,True
2020-04-28,1.4722297387845602,0.10328633801364868,True
2020-04-29,1.464530670765221,0.07302886468257304,True
2020-04-30,1.4715686098330905,0.09225441064667642,True
2020-05-04,1.463908081320562,0.16266331164431694,True
2020-05-05,1.48220857392865,0.14326185782872639,True
2020-05-06,1.4895877267730464,0.1466577758532615,True
2020-05-07,1.4753985417744548,0.136329269551079,True
2020-05-08,1.4654664855876007,0.11741037314045225,True
2020-05-11,1.4611185629422208,0.14577024960758375,True
2020-05-12,1.4570450005256834,0.11135447460041743,True
2020-05-13,1.4530050504714114,0.14419048175468244,True
2020-05-14,1.45389154997229,0.15659659831705433,True
2020-05-15,1.4565103994822637,0.15601269556677994,True
2020-05-18,1.452471225922126,0.10725462880420879,True
2020-05-19,1.4824570382762736,0.10167194335762872,True
2020-05-20,1.4862874531430363,0.1163395126285055,True
2020-05-21,1.4779033825209285,0.12410949148374731,True
2020-05-22,1.4645544308598115,0.13964411483939224,True
2020-05-25,1.4698581694768689,0.10218106928167012,True
2020-05-26,1.4671147465361365,0.08256198827718936,True
2020-05-27,1.4549641054956808,0.06891900054103518,True
2020-05-28,1.448516667935356,0.06986954621434108,True
2020-05-29,1.4437547357172342,0.09957200513454412,True
2020-06-02,1.441075522844287,0.05471569015953688,True
2020-06-03,1.4494929047159866,0.034909058037796405,True
2020-06-04,1.4750589849491635,0.03512717297847586,True
2020-06-05,1.4590519127396333,0.005583113381359061,True
2020-06-08,1.3968428764252308,0.017577627085545253,True
2020-06-09,1.3892693596510226,0.04295687219311008,True
2020-06-10,1.413667316593621,0.04479805442289295,True
2020-06-11,1.232274925348751,0.0904431987513091,True
2020-06-12,1.280158982177119,0.07174311463451917,True
2020-06-15,1.269803388169967,0.07496924934018402,True
2020-06-16,1.2764330212148245,0.041326014734807855,True
2020-06-17,1.274701088569444,0.03492762135251646,True
2020-06-18,1.302002051605306,0.007957496949159754,True
2020-06-19,1.3197980845840094,-0.0014120542239540756,False
2020-06-22,1.340186498469291,0.030834358462422193,True
2020-06-23,1.2349757749246657,0.00613824713328414,True
2020-06-24,1.2569937329782488,0.045762627526325816,True
2020-06-25,1.2973287242238023,0.033415873808837745,True
2020-06-26,1.2839699688560469,0.04729389337902463,True
2020-06-29,1.3092517738241376,0.03655435439040197,True
2020-06-30,1.3174846471066082,0.05036811741602214,True
2020-07-01,1.296655613017042,0.06306076133789816,True
2020-07-02,1.323379444541224,0.03009737708668139,True
2020-07-03,1.3376708860988935,0.02935068781318257,True
2020-07-06,1.3045492950391746,0.014595188189451843,True
2020-07-07,1.2973629150502768,0.02078309539854142,True
2020-07-08,1.3221257026629345,0.037890671358516384,True
2020-07-09,1.3373135893243464,0.026901093140007836,True
2020-07-10,1.327703946937281,0.010322732240776478,True
2020-07-13,1.2770139164968934,0.020611961382806226,True
2020-07-14,1.2828428495897255,0.02828404247867798,True
2020-07-15,1.2573759702609906,0.01984434963928768,True
2020-07-16,1.2640963079484024,0.017049260632929292,True
2020-07-17,1.220700348117871,0.00875362372573706,True
2020-07-20,1.2196308567873533,-0.007813125915527191,False
2020-07-21,1.2213395402107994,-0.015113840284399948,False
2020-07-22,1.2079135948337627,0.01056495173241881,True
2020-07-23,1.1902793974505754,-0.003487625537994075,False
2020-07-24,1.1919980965209072,0.0003582910475797839,True
2020-07-27,1.1791115592049703,0.020172681281785933,True
2020-07-28,1.1746370598763038,0.010312586651276507,True
2020-07-31,1.1696128751976234,0.06974706580512363,True
2020-08-03,1.1868968731509697,0.042317934464315365,True
2020-08-04,1.2144546678287305,0.047788696377686846,True
2020-08-05,1.2035991951346308,0.045935598430432975,True
2020-08-06,1.198397883887081,0.0477955472781767,True
