market,method,indicator,trades,win_rate,avg_return,cum_return
US (S&P 500),重叠,EMIS,208,0.9038461538461539,0.060671779648663944,12.6197301669221
US (S&P 500),不重叠,EMIS,9,0.7777777777777778,0.04668475170355533,0.420162765331998
US (S&P 500),每周一次,EMIS,48,0.8958333333333334,0.05961636338188738,2.861585442330594
Japan (Nikkei),重叠,EMIS,168,0.8690476190476191,0.05383724770033924,9.044657613656993
Japan (Nikkei),不重叠,EMIS,7,0.8571428571428571,0.058763783094977505,0.41134648166484256
Japan (Nikkei),每周一次,EMIS,38,0.9210526315789473,0.056148337133328625,2.133636811066488
Germany (DAX),重叠,EMIS,102,0.9509803921568627,0.08351509433839294,8.51853962251608
Germany (DAX),不重叠,EMIS,4,0.75,0.052925173388186066,0.21170069355274426
Germany (DAX),每周一次,EMIS,22,0.9545454545454546,0.0828720958715665,1.823186109174463
US (S&P 500),重叠,VIX,226,0.8230088495575221,0.054584001051561325,12.335984237652859
US (S&P 500),不重叠,VIX,18,0.7222222222222222,0.02290980718822843,0.41237652938811176
US (S&P 500),每周一次,VIX,66,0.803030303030303,0.04696592429140314,3.099751003232607
